scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:36:43 UTC,2019-04-01 19:00:00 UTC,Arsenal,Newcastle,Premier League 2018/2019,2,0,"1:0, 1:0",Emirates Stadium,London,England,"[{'1': '1.38', 'X': '4.50', '2': '7.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.75', '2': '9.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.41', 'X': '4.80', '2': '7.04', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.46', 'X': '4.66', '2': '8.19', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:43 UTC,2018-08-25 14:00:00 UTC,Arsenal,West Ham,Premier League 2018/2019,3,1,"1:1, 2:0",Emirates Stadium,London,England,"[{'1': '1.34', 'X': '5.55', '2': '8.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.30', '2': '8.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.24', '2': '7.44', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.37', 'X': '5.65', '2': '8.67', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:43 UTC,2018-12-15 12:30:00 UTC,Manchester City,Everton,Premier League 2018/2019,3,1,"1:0, 2:1",Etihad Stadium,Manchester,England,"[{'1': '1.22', 'X': '6.80', '2': '12.75', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.22', 'X': '6.75', '2': '13.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.24', 'X': '6.43', '2': '10.35', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.83', '2': '13.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:48 UTC,2019-01-19 15:00:00 UTC,Watford,Burnley,Premier League 2018/2019,0,0,"0:0, 0:0",Vicarage Road,Watford,England,"[{'1': '1.71', 'X': '3.75', '2': '5.25', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.63', 'X': '4.00', '2': '5.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.71', 'X': '3.77', '2': '4.75', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.77', '2': '5.09', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:47 UTC,2019-04-27 14:00:00 UTC,Fulham,Cardiff,Premier League 2018/2019,1,0,"0:0, 1:0",Craven Cottage,London,England,"[{'1': '2.15', 'X': '3.40', '2': '3.15', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.65', '2': '3.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.19', 'X': '3.53', '2': '3.14', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.21', 'X': '3.69', '2': '3.35', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:48 UTC,2018-08-20 19:00:00 UTC,Crystal Palace,Liverpool,Premier League 2018/2019,0,2,"0:1, 0:1",Selhurst Park,London,England,"[{'1': '7.75', 'X': '5.20', '2': '1.39', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '7.95', 'X': '5.20', '2': '1.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.09', 'X': '4.99', '2': '1.39', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '8.01', 'X': '5.28', '2': '1.41', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:52 UTC,2018-09-22 14:00:00 UTC,Manchester Utd,Wolves,Premier League 2018/2019,1,1,"1:0, 0:1",Old Trafford,Manchester,England,"[{'1': '1.57', 'X': '3.85', '2': '6.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.56', 'X': '3.95', '2': '6.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.91', '2': '5.61', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.60', 'X': '3.85', '2': '6.81', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:52 UTC,2019-04-27 11:30:00 UTC,Tottenham,West Ham,Premier League 2018/2019,0,1,"0:0, 0:1",Tottenham Hotspur Stadium,London,England,"[{'1': '1.33', 'X': '5.15', '2': '8.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.34', 'X': '5.50', '2': '9.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.34', 'X': '5.23', '2': '8.15', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.55', '2': '8.95', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:52 UTC,2018-08-10 19:00:00 UTC,Manchester Utd,Leicester,Premier League 2018/2019,2,1,"1:0, 1:1",Old Trafford,Manchester,England,"[{'1': '1.56', 'X': '3.80', '2': '7.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.54', 'X': '3.90', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.55', 'X': '3.84', '2': '6.43', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.55', 'X': '4.07', '2': '7.69', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:36:57 UTC,2019-05-12 14:00:00 UTC,Brighton,Manchester City,Premier League 2018/2019,1,4,"1:2, 0:2",Amex Stadium,Brighton,England,"[{'1': '12.25', 'X': '6.90', '2': '1.18', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '16.00', 'X': '8.50', '2': '1.17', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '13.74', 'X': '7.45', '2': '1.17', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '13.17', 'X': '7.24', '2': '1.22', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
