Season,Race,RaceStop,RaceDate,Market,Name/Result,EU Odds,US Odds
2024,Bahrain,1,3/2/2024,Event Winner,Max Verstappen,1.35,-286
2024,Bahrain,1,3/2/2024,Event Winner,Charles Leclerc,10.00,900
2024,Bahrain,1,3/2/2024,Event Winner,Sergio Perez,13.00,1200
2024,Bahrain,1,3/2/2024,Event Winner,Carlos Sainz,21.00,2000
2024,Bahrain,1,3/2/2024,Event Winner,George Russell,21.00,2000
2024,Bahrain,1,3/2/2024,Event Winner,Lando Norris,21.00,2000
2024,Bahrain,1,3/2/2024,Event Winner,Lewis Hamilton,21.00,2000
2024,Bahrain,1,3/2/2024,Event Winner,Fernando Alonso,29.00,2800
2024,Bahrain,1,3/2/2024,Event Winner,Oscar Piastri,34.00,3300
2024,Bahrain,1,3/2/2024,Event Winner,Alex Albon,301.00,30000
2024,Bahrain,1,3/2/2024,Event Winner,Daniel Ricciardo,301.00,30000
2024,Bahrain,1,3/2/2024,Event Winner,Esteban Ocon,301.00,30000
2024,Bahrain,1,3/2/2024,Event Winner,Lance Stroll,301.00,30000
2024,Bahrain,1,3/2/2024,Event Winner,Pierre Gasly,301.00,30000
2024,Bahrain,1,3/2/2024,Event Winner,Yuki Tsunoda,301.00,30000
2024,Bahrain,1,3/2/2024,Event Winner,Kevin Magnussen,601.00,60000
2024,Bahrain,1,3/2/2024,Event Winner,Logan Sargeant,601.00,60000
2024,Bahrain,1,3/2/2024,Event Winner,Nico Hulkenberg,601.00,60000
2024,Bahrain,1,3/2/2024,Event Winner,Valtteri Bottas,601.00,60000
2024,Bahrain,1,3/2/2024,Event Winner,Zhou Guanyu,601.00,60000
2024,Bahrain,1,3/2/2024,Top Qualifier,Max Verstappen,1.83,-120
2024,Bahrain,1,3/2/2024,Top Qualifier,Charles Leclerc,3.50,250
2024,Bahrain,1,3/2/2024,Top Qualifier,Carlos Sainz,9.00,800
2024,Bahrain,1,3/2/2024,Top Qualifier,Sergio Perez,10.00,900
2024,Bahrain,1,3/2/2024,Top Qualifier,Lando Norris,17.00,1600
2024,Bahrain,1,3/2/2024,Top Qualifier,George Russell,21.00,2000
2024,Bahrain,1,3/2/2024,Top Qualifier,Lewis Hamilton,21.00,2000
2024,Bahrain,1,3/2/2024,Top Qualifier,Fernando Alonso,81.00,8000
2024,Bahrain,1,3/2/2024,Top Qualifier,Oscar Piastri,81.00,8000
2024,Bahrain,1,3/2/2024,Top Qualifier,Alex Albon,301.00,30000
2024,Bahrain,1,3/2/2024,Top Qualifier,Daniel Ricciardo,301.00,30000
2024,Bahrain,1,3/2/2024,Top Qualifier,Esteban Ocon,301.00,30000
2024,Bahrain,1,3/2/2024,Top Qualifier,Lance Stroll,301.00,30000
2024,Bahrain,1,3/2/2024,Top Qualifier,Pierre Gasly,301.00,30000
2024,Bahrain,1,3/2/2024,Top Qualifier,Yuki Tsunoda,301.00,30000
2024,Bahrain,1,3/2/2024,Top Qualifier,Kevin Magnussen,601.00,60000
2024,Bahrain,1,3/2/2024,Top Qualifier,Logan Sargeant,601.00,60000
2024,Bahrain,1,3/2/2024,Top Qualifier,Nico Hulkenberg,601.00,60000
2024,Bahrain,1,3/2/2024,Top Qualifier,Valtteri Bottas,601.00,60000
2024,Bahrain,1,3/2/2024,Top Qualifier,Zhou Guanyu,601.00,60000
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 6,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
2024,Bahrain,1,3/2/2024,Top 10,,,
