ID,Name,SeriesID,AdditionalSeries,RaceTypeID,ImageUrl,StartDateEpoc,EndDateEpoc,TimeZoneID,TimeZoneName,TimeZoneOffset,Times,Track,TestRace,HasResults,ExcludeFromWebsite,WebTimingUrl,RaceNotifications,Schedule,startDate,endDate,season
123648,High Limit Open presented by K1 RaceGear,,[],7,,1660687200,1660712400,Eastern Standard Time,,-240,1020-1440,"Lincoln Park Speedway - Putnamville, IN",False,True,False,,[],,2022-08-16,2022-08-17,2022
129596,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1681218000,1681275600,Eastern Standard Time,,-240,480-1440,"Lakeside Speedway - Kansas City, KS",False,True,False,,[],,2023-04-11,2023-04-12,2023
129604,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1682455500,1682485200,Eastern Standard Time,,-240,945-1440,"34 Raceway - West Burlington, IA",False,True,False,,[],,2023-04-25,2023-04-26,2023
129915,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1684269000,1684299600,Eastern Standard Time,,-240,930-1440,"Wayne County Speedway - Orriville, OH",False,True,False,,[],,2023-05-16,2023-05-17,2023
129916,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1685566800,1685595600,Eastern Standard Time,,-240,960-1440,"Tri-City Speedway - Granite City, IL",False,True,False,,[],,2023-05-31,2023-06-01,2023
129918,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1686085200,1686114000,Eastern Standard Time,,-240,960-1440,"Eagle Raceway - Eagle, NE",False,True,False,,[],,2023-06-06,2023-06-07,2023
129919,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1690406100,1690434000,Eastern Standard Time,,-240,975-1440,"Grandview Speedway - Bechtelsville, PA",False,True,False,,[],,2023-07-26,2023-07-27,2023
135300,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1690924500,1690952400,Eastern Standard Time,,-240,975-1440,"Kokomo Speedway - Kokomo, IN",False,True,False,,[],,2023-08-01,2023-08-02,2023
135305,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1692133200,1692162000,Eastern Standard Time,,-240,960-1440,"Huset's Speedway - Brandon, SD",False,True,False,,[],,2023-08-15,2023-08-16,2023
136011,High Limits,1467.0,[],7,http://i.race-monitor.com/logos/2021_huset_s_logo_orange.png,1692147600,1692160200,Central Standard Time,,-300,1140-1350,Huset's,False,True,False,,[],,2023-08-16,2023-08-16,2023
137981,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1695765600,1695790800,Eastern Standard Time,,-240,1020-1440,"Lernerville Speedway - Sarver, PA",False,True,False,,[],,2023-09-26,2023-09-27,2023
137992,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1696369500,1696395600,Eastern Standard Time,,-240,1005-1440,Bridgeport Speedway,False,True,False,,[],,2023-10-03,2023-10-04,2023
137993,High Limit Sprint Car Series,,[],7,http://i.race-monitor.com/logos/pmss_logo_small.png,1696974300,1697000400,Eastern Standard Time,,-240,1005-1440,Lincoln Park Speedway,False,True,False,,[],,2023-10-10,2023-10-11,2023
138256,High Limit Sprint Series,,[],7,http://i.race-monitor.com/logos/2017_bridgeport_speedway.png,1696370400,1696395600,Eastern Standard Time,,-240,1020-1440,Bridgeport Motorsports Park,False,True,False,,[],,2023-10-03,2023-10-04,2023
140428,High Limit Racing - Battle at the Bay,,[],7,,1707742800,1707775200,Eastern Standard Time,,-300,480-1020,East Bay Raceway Park,False,True,False,,[],,2024-02-12,2024-02-12,2024
140439,High Limit Racing - Battle at the Bay,,[],7,,1707829200,1707861600,Eastern Standard Time,,-300,480-1020,East Bay Raceway Park,False,True,False,,[],,2024-02-13,2024-02-13,2024
140462,High Limit Racing - Practice Night,,[],7,,1708534800,1708570800,Eastern Standard Time,,-300,720-1320,Golden Isles Speedway,False,True,False,,[],,2024-02-21,2024-02-22,2024
140571,High Limit Racing - Deuces Wild,,[],7,,1708606800,1708639200,Eastern Standard Time,,-300,480-1020,Golden Isles Speedway,False,True,False,,[],,2024-02-22,2024-02-22,2024
140641,High Limit Racing,,[],7,,1708779600,1708812000,Eastern Standard Time,,-300,480-1020,Golden Isles Speedway,False,True,False,,[],,2024-02-24,2024-02-24,2024
141911,High Limit Racing,,[],7,,1713013200,1713045600,Eastern Standard Time,,-240,480-1020,Texas Motor Speedway,False,True,False,,[],,2024-04-13,2024-04-13,2024
141948,High Limit Racing,,[],7,,1713103200,1713135600,Central Standard Time,,-300,480-1020,RPM Speedway,False,True,False,,[],,2024-04-14,2024-04-14,2024
141988,High Limit Racing,,[],7,,1713272400,1713304800,Eastern Standard Time,,-240,480-1020,Red Dirt Raceway,False,True,False,,[],,2024-04-16,2024-04-16,2024
142149,High Limit Racing,,[],7,,1713535200,1713567600,Central Standard Time,,-300,480-1020,Southern Oklahoma Speedway,False,True,False,,[],,2024-04-19,2024-04-19,2024
142239,High Limit Racing,,[],7,,1713621600,1713654000,Central Standard Time,,-300,480-1020,Salina Highbanks,False,True,False,,[],,2024-04-20,2024-04-20,2024
142340,High Limit Racing,,[],7,,1713880800,1713913200,Central Standard Time,,-300,480-1020,Riverside International Speedway,False,True,False,,[],,2024-04-23,2024-04-23,2024
142808,High Limit Racing,,[],7,,1714744800,1714777200,Central Standard Time,,-300,480-1020,Lakeside Speedway,False,True,False,,[],,2024-05-03,2024-05-03,2024
