ID,RaceID,Name,SessionDate,SessionTime,SortMode,Categories,CategoryString,ResultsProcessorVersion,SessionStartDateEpoc,startDateSess
7591823,123648,Engine Heat,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660687431,2022-08-16
7591836,123648,Practice,,,qualifying,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660688491,2022-08-16
7591877,123648,Qualifying - Flight 1,,,qualifying,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660690066,2022-08-16
7591888,123648,Heat Race #1,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660692998,2022-08-16
7591897,123648,Heat Race #2,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660694052,2022-08-16
7591903,123648,Heat Race #3,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660694555,2022-08-17
7591925,123648,Heat Race #4,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660694993,2022-08-17
7591930,123648,Sprint Car Dash,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660697211,2022-08-17
7591944,123648,Race Semi-Feature,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660697518,2022-08-17
7591960,123648,Race Feature,,,race,"{'1': {'ID': '1', 'Name': 'Winged Sprint Cars'}}",Winged Sprint Cars,4,1660699311,2022-08-17
7743828,129596,Race High Limit Series--A Feature 1-10:39PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--A Feature 1'}}",High Limit Series--A Feature 1,4,1681269453,2023-04-12
7743827,129596,Race High Limit Series--B Feature 1-10:28PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--B Feature 1'}}",High Limit Series--B Feature 1,4,1681266820,2023-04-12
7743821,129596,Race High Limit Series--C Feature 1-09:55PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--C Feature 1'}}",High Limit Series--C Feature 1,4,1681265951,2023-04-12
7743759,129596,Race High Limit Series--Competitors-03:40PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Competitors'}}",High Limit Series--Competitors,4,1681253609,2023-04-11
7743822,129596,Race High Limit Series--Dash 1-10:21PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Dash 1'}}",High Limit Series--Dash 1,4,1681266344,2023-04-12
7743802,129596,Race High Limit Series--Heat 1-09:05PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 1'}}",High Limit Series--Heat 1,4,1681262266,2023-04-12
7743805,129596,Race High Limit Series--Heat 2-09:22PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 2'}}",High Limit Series--Heat 2,4,1681263131,2023-04-12
7743809,129596,Race High Limit Series--Heat 3-09:35PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 3'}}",High Limit Series--Heat 3,4,1681263924,2023-04-12
7743815,129596,Race High Limit Series--Heat 4-09:48PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 4'}}",High Limit Series--Heat 4,4,1681264301,2023-04-12
7743796,129596,Race High Limit Series--Non-Qualifer-08:34PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Non-Qualifer'}}",High Limit Series--Non-Qualifer,4,1681261405,2023-04-12
7743780,129596,Race High Limit Series--Qualifying 1-07:20PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Qualifying 1'}}",High Limit Series--Qualifying 1,4,1681255184,2023-04-11
7743789,129596,Race High Limit Series--Qualifying 2-08:18PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Qualifying 2'}}",High Limit Series--Qualifying 2,4,1681258724,2023-04-12
7758243,129604,Race High Limit Series--A Feature 1-09:53PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--A Feature 1'}}",High Limit Series--A Feature 1,4,1682477274,2023-04-26
7758240,129604,Race High Limit Series--B Feature 1-09:45PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--B Feature 1'}}",High Limit Series--B Feature 1,4,1682473696,2023-04-26
7758218,129604,Race High Limit Series--C Feature 1-09:06PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--C Feature 1'}}",High Limit Series--C Feature 1,4,1682472921,2023-04-26
7758152,129604,Race High Limit Series--Competitors-07:11PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Competitors'}}",High Limit Series--Competitors,4,1682462889,2023-04-25
7758221,129604,Race High Limit Series--Dash 1-09:39PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Dash 1'}}",High Limit Series--Dash 1,4,1682473370,2023-04-26
7758192,129604,Race High Limit Series--Heat 1-08:19PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 1'}}",High Limit Series--Heat 1,4,1682468940,2023-04-26
7758196,129604,Race High Limit Series--Heat 2-08:34PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 2'}}",High Limit Series--Heat 2,4,1682470183,2023-04-26
7758202,129604,Race High Limit Series--Heat 3-08:52PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 3'}}",High Limit Series--Heat 3,4,1682470551,2023-04-26
7758213,129604,Race High Limit Series--Heat 4-08:58PM,,,race,"{'1': {'ID': '1', 'Name': 'High Limit Series--Heat 4'}}",High Limit Series--Heat 4,4,1682471011,2023-04-26
