Consensus ADP current date range: 3/3 - 4/23,Green = one of 13 players invited to draft,Italics = need to update column,Expand columns H-M to see all O/U odds,Relative Athletic Scores,,,,,,,IMPLIED BETTING ODDS AVG,BETTING ODDS DIFF (green = O) (red = U),,AVG 4/14-4/22,(+/-) change,AVG 3/18-4/13,,BEST since 4/8,WORST since 4/8,RD1 since 4/8,RD1% since 4/8,MOST COMMON RD1 #,SHARP McCrystal,SHARP Donahue,NFL Brooks,ESPN Nation,WALTER Charlie,WALTER FB,MOCK DB,4FOR4 Smith,ITA Amico,FANTASY PROS Freedman,ESPN Reid,GRINDING MOCKS,TANK ATHON,ETR Silva,ETR Daigle,SHARP McCrystal,SHARP Donahue,ATHLETIC Brugler,UD Winks,ESPN Kiper & Yates,NFL Band,,MOCK DB,GRINDING MOCKS,WALTER FB,MCSHAY REPORT,4FOR4 Smith,"ESPN
Kiper",ITA Amico,WALTER Charlie,BS Cheah,ATHLETIC Feldman,TANK ATHON,ESPN Yates,B/R Scouts,NFL Zierlein,NFL Davis,"ESPN
Miller",ATHLETIC Standig,NFL Brooks,ATHLETIC Staff,NFL Jeremiah,ESPN Reid,PFF Sikkema,,NFL Schrager,UD Norris,Fantasy Law Guy Guarisco,DEN Allbright
NAME,POS,COLLEGE,CONF,RAS,BR,MGM,365,FD,CZ,BO,4/23,4/23,,,,,,,,,,,4/22,4/22,4/22,4/22,4/22,4/21,4/21,4/21,4/21,4/21,4/21,4/21,4/21,4/18,4/17,4/18,4/18,4/17,4/17,4/15,4/14,,4/13,4/12,4/12,4/10,4/8,4/8,4/8,4/6,4/4,4/2,4/2,4/2,4/1,4/1,3/27,3/27,3/24,3/25,3/20,3/18,3/4,3/3,,NA,NA,NA,NA
Cameron Ward,QB,Miami,ACC,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.1,1.1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,
Travis Hunter ,WR/CB,Colorado,Big 12,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,1.0,3.0,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,4,4,4,4,3,3,4,4,3,3,4,4,4,3,,,,,
Abdul Carter,EDGE,Penn State,Big Ten,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,,3.0,-0.4,2.6,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,1,3,3,4,3,3,3,2,2,2,2,2,2,3,2,4,4,2,2,3,1,,,,,
Will Campbell,OT,LSU,SEC,9.91,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,,4.0,3.2,7.2,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,5,4,4,10,4,4,4,7,9,10,10,4,4,9,13,11,9,9,10,13,10,,,,,
Mason Graham ,DT,Michigan,Big Ten,,,,,,6.0,,6.0,0.0,,6.0,-0.2,5.8,,,,,,,5,5,5,9,7,7,5,10,5,5,5,5,5,11,5,5,5,6,5,5,5,,5,4,7,8,5,5,5,7,8,5,5,5,5,5,8,5,5,5,6,8,5,11,,,,,
Ashton Jeanty,RB,Boise State,Mountain West,,5.5,5.5,7.0,5.5,5.5,5.0,5.7,0.5,,6.1,1.7,7.9,,,,,,,6,6,6,5,5,5,6,5,6,6,6,6,6,6,10,6,6,5,10,6,6,,6,6,12,6,9,6,6,10,10,10,6,6,10,10,6,10,6,6,10,6,6,6,,,,,
Armand Membou,OT,Missouri,SEC,9.90,7.0,7.0,7.0,7.0,6.5,6.5,6.8,0.6,,7.4,-0.7,6.8,,,,,,,7,7,14,6,6,6,7,6,7,7,7,7,7,7,13,7,7,7,7,7,7,,7,7,5,7,7,7,7,5,5,7,7,7,7,7,5,7,7,12,5,7,10,5,,,,,
Jalon Walker,EDGE,Georgia,SEC,,8.0,8.0,8.0,8.0,8.0,,8.0,0.7,,8.7,0.3,9.1,,,,,,,16,8,8,8,8,8,8,8,8,8,8,8,8,8,6,16,8,8,9,8,8,,8,11,8,5,8,8,8,8,12,6,11,8,19,6,10,8,8,8,16,5,15,9,,,,,
Tyler Warren,TE,Penn State ,Big Ten,,10.0,10.0,9.5,10.0,10.0,9.5,9.8,0.4,,10.2,1.7,11.9,,,,,,,10,10,7,10,10,10,10,9,14,10,14,9,10,9,14,10,10,10,8,10,10,,14,8,18,10,14,10,9,9,11,14,14,14,22,14,7,12,9,7,7,14,9,7,,,,,
Kelvin Banks Jr.,OT,Texas,SEC,,,,,,7.0,,7.0,5.4,,12.4,4.7,17.1,,,,,,,13,11,10,7,11,13,10,7,11,13,11,13,11,13,7,13,11,27,13,11,24,,10,13,11,18,11,18,11,16,13,25,12,16,18,11,16,23,29,13,32,25,25,13,,,,,
Will Johnson ,CB,Michigan,Big Ten,,,,,17.5,,,17.5,-3.7,,13.8,-0.7,13.1,,,,,,,9,13,9,19,16,11,11,11,30,9,16,12,13,16,11,9,13,23,12,13,13,,12,9,6,11,6,11,27,6,21,13,9,13,6,15,13,11,17,23,18,15,11,16,,,,,
